id_inmueble,precio,planta,int/ext,nº hab,m2,ascensor,garage,barrio,id_barrio,distrito,id_distrito
4223,2490000,1,EXTERIOR,4,358.0,True,True,NUEVA ESPANA,55,CHAMARTIN,5
4224,2600000,3,EXTERIOR,4,383.0,True,True,NUEVA ESPANA,55,CHAMARTIN,5
4225,2300000,3,EXTERIOR,4,307.0,True,False,EL VISO,51,CHAMARTIN,5
4226,950000,1,EXTERIOR,3,127.0,True,False,HISPANOAMERICA,54,CHAMARTIN,5
4227,635000,6,EXTERIOR,2,87.0,True,False,PROSPERIDAD,52,CHAMARTIN,5
4228,650000,5,EXTERIOR,4,122.0,True,True,PROSPERIDAD,52,CHAMARTIN,5
4229,1150000,4,EXTERIOR,4,272.0,True,True,CASTILLA,56,CHAMARTIN,5
4230,1080000,0,EXTERIOR,7,345.0,True,True,NUEVA ESPANA,55,CHAMARTIN,5
4231,2400000,1,EXTERIOR,8,614.0,True,True,HISPANOAMERICA,54,CHAMARTIN,5
4232,1150000,4,EXTERIOR,3,190.0,True,True,NUEVA ESPANA,55,CHAMARTIN,5
4233,1295000,3,EXTERIOR,4,190.0,True,True,NUEVA ESPANA,55,CHAMARTIN,5
4234,369000,6,EXTERIOR,3,86.0,True,False,PROSPERIDAD,52,CHAMARTIN,5
4235,725000,7,EXTERIOR,3,121.0,True,False,CASTILLA,56,CHAMARTIN,5
4236,480000,3,EXTERIOR,3,93.0,True,False,HISPANOAMERICA,54,CHAMARTIN,5
4237,360000,0,EXTERIOR,1,70.0,True,False,HISPANOAMERICA,54,CHAMARTIN,5
4238,2400000,3,EXTERIOR,4,307.0,True,False,EL VISO,51,CHAMARTIN,5
4239,360000,4,EXTERIOR,2,62.0,False,False,HISPANOAMERICA,54,CHAMARTIN,5
4240,349000,7,EXTERIOR,2,68.0,True,False,PROSPERIDAD,52,CHAMARTIN,5
4241,1150000,4,EXTERIOR,4,274.0,True,True,CASTILLA,56,CHAMARTIN,5
4242,930700,1,EXTERIOR,3,132.0,True,False,NUEVA ESPANA,55,CHAMARTIN,5
4243,590000,2,EXTERIOR,4,150.0,True,False,PROSPERIDAD,52,CHAMARTIN,5
4244,1350000,1,EXTERIOR,4,245.0,True,True,NUEVA ESPANA,55,CHAMARTIN,5
4245,601012,6,EXTERIOR,1,85.0,True,False,HISPANOAMERICA,54,CHAMARTIN,5
4246,850000,1,EXTERIOR,3,234.0,True,False,HISPANOAMERICA,54,CHAMARTIN,5
4247,2333000,3,EXTERIOR,5,260.0,True,True,EL VISO,51,CHAMARTIN,5
4248,3000000,0,EXTERIOR,5,568.0,False,True,HISPANOAMERICA,54,CHAMARTIN,5
4249,960000,3,EXTERIOR,3,157.0,True,False,NUEVA ESPANA,55,CHAMARTIN,5
4250,895000,3,EXTERIOR,3,150.0,True,True,NUEVA ESPANA,55,CHAMARTIN,5
4251,845000,1,EXTERIOR,4,185.0,True,True,HISPANOAMERICA,54,CHAMARTIN,5
4252,314999,5,EXTERIOR,2,64.0,True,False,PROSPERIDAD,52,CHAMARTIN,5
4253,515000,5,EXTERIOR,2,92.0,True,False,HISPANOAMERICA,54,CHAMARTIN,5
4254,385000,0,EXTERIOR,1,40.0,True,True,NUEVA ESPANA,55,CHAMARTIN,5
4255,950000,5,EXTERIOR,4,157.0,True,True,HISPANOAMERICA,54,CHAMARTIN,5
4256,1550000,3,EXTERIOR,4,164.0,True,True,NUEVA ESPANA,55,CHAMARTIN,5
4257,1250000,3,EXTERIOR,4,212.0,True,True,NUEVA ESPANA,55,CHAMARTIN,5
4258,4900000,0,EXTERIOR,6,598.0,False,False,EL VISO,51,CHAMARTIN,5
4259,180000,1,INTERIOR,1,40.0,False,False,PROSPERIDAD,52,CHAMARTIN,5
4260,1199000,6,EXTERIOR,5,220.0,True,True,CASTILLA,56,CHAMARTIN,5
4261,3000000,10,EXTERIOR,5,327.0,True,True,EL VISO,51,CHAMARTIN,5
4262,440000,1,EXTERIOR,4,120.0,True,False,PROSPERIDAD,52,CHAMARTIN,5
4263,179000,0,EXTERIOR,1,42.0,False,False,CASTILLA,56,CHAMARTIN,5
4264,647000,3,EXTERIOR,3,90.0,True,False,NUEVA ESPANA,55,CHAMARTIN,5
4265,1150000,6,EXTERIOR,5,194.0,True,False,HISPANOAMERICA,54,CHAMARTIN,5
4266,2750000,15,EXTERIOR,4,527.0,True,True,EL VISO,51,CHAMARTIN,5
4267,2600000,3,EXTERIOR,6,500.0,True,True,NUEVA ESPANA,55,CHAMARTIN,5
4268,830000,13,EXTERIOR,3,135.0,True,False,HISPANOAMERICA,54,CHAMARTIN,5
4269,397000,3,EXTERIOR,2,70.0,True,False,PROSPERIDAD,52,CHAMARTIN,5
4270,5800000,0,EXTERIOR,9,910.0,False,True,EL VISO,51,CHAMARTIN,5
4271,450000,1,EXTERIOR,1,54.0,True,False,NUEVA ESPANA,55,CHAMARTIN,5
4272,450000,1,EXTERIOR,3,85.0,True,False,PROSPERIDAD,52,CHAMARTIN,5
4273,190000,1,INTERIOR,1,50.0,False,False,PROSPERIDAD,52,CHAMARTIN,5
4274,3800000,0,EXTERIOR,7,560.0,False,True,NUEVA ESPANA,55,CHAMARTIN,5
4275,260000,2,EXTERIOR,2,64.0,True,False,CASTILLA,56,CHAMARTIN,5
4276,1600000,3,EXTERIOR,4,351.0,True,True,NUEVA ESPANA,55,CHAMARTIN,5
4277,1076900,4,EXTERIOR,3,151.0,True,False,NUEVA ESPANA,55,CHAMARTIN,5
4278,388800,1,EXTERIOR,2,63.0,True,False,HISPANOAMERICA,54,CHAMARTIN,5
4279,460000,2,EXTERIOR,2,91.0,True,False,PROSPERIDAD,52,CHAMARTIN,5
4280,630000,4,EXTERIOR,2,85.0,True,False,HISPANOAMERICA,54,CHAMARTIN,5
4281,630000,3,EXTERIOR,4,144.0,True,True,CASTILLA,56,CHAMARTIN,5
4282,3200000,0,EXTERIOR,6,573.0,False,True,HISPANOAMERICA,54,CHAMARTIN,5
4283,3200000,4,EXTERIOR,5,434.0,True,False,EL VISO,51,CHAMARTIN,5
4284,1500000,10,EXTERIOR,3,191.0,True,True,HISPANOAMERICA,54,CHAMARTIN,5
4285,1325000,12,EXTERIOR,4,230.0,True,False,NUEVA ESPANA,55,CHAMARTIN,5
4286,1350000,3,EXTERIOR,4,188.0,True,True,NUEVA ESPANA,55,CHAMARTIN,5
4287,115000,0,INTERIOR,2,39.0,False,False,PROSPERIDAD,52,CHAMARTIN,5
4288,569000,1,EXTERIOR,4,118.0,True,False,CASTILLA,56,CHAMARTIN,5
4289,675000,2,EXTERIOR,2,115.0,True,True,PROSPERIDAD,52,CHAMARTIN,5
4290,895000,6,EXTERIOR,3,140.0,True,False,HISPANOAMERICA,54,CHAMARTIN,5
4291,2450000,3,EXTERIOR,5,400.0,True,True,NUEVA ESPANA,55,CHAMARTIN,5
4292,401500,0,EXTERIOR,2,98.0,True,False,PROSPERIDAD,52,CHAMARTIN,5
