Nº Distrito;DISTRITO;BARRIO;PARQUES Y ZONAS VERDES DE DISTRITO CON MAYOR SUPERFICIE;Superficie (m2);Superficie (ha)
09;MONCLOA-ARAVACA;CASA DE CAMPO;RECINTOS FERIALES;67.252,82;6,73
09;MONCLOA-ARAVACA;ARAVACA;Pº ERMITA - VILLA ADRIANA;44.547,47;4,45
09;MONCLOA-ARAVACA;ARAVACA;PARQUE LA RINCONERA;43.865,33;4,39
09;MONCLOA-ARAVACA;CIUDAD UNIVERSITARIA;MARGEN DERECHO DEL RIO MANZANARES;42.092,72;4,21
09;MONCLOA-ARAVACA;ARAVACA;COL. ROSA LUXEMBURGO;40.765,95;4,08
09;MONCLOA-ARAVACA;ARAVACA;CAMINO BARRIAL;38.845,53;3,88
09;MONCLOA-ARAVACA;VALDEZARZA;COL. VALDEZARZA;37.993,72;3,80
09;MONCLOA-ARAVACA;VALDEMARIN;PARQUE DEL CEMENTERIO;36.751,31;3,68
09;MONCLOA-ARAVACA;ARAVACA;EL DISCO;28.414,37;2,84
09;MONCLOA-ARAVACA;CASA DE CAMPO;Pº ANICETO MARINAS;27.828,42;2,78
09;MONCLOA-ARAVACA;CIUDAD UNIVERSITARIA;PARQUE DE FRANCOS RDGUEZ.;26.406,83;2,64
09;MONCLOA-ARAVACA;VALDEMARIN;VALDEMARIN OESTE;25.242,66;2,52
09;MONCLOA-ARAVACA;ARAVACA;CALLE CINCON LAGUNAS;23.798,65;2,38
09;MONCLOA-ARAVACA;VALDEMARIN;PROLONGACION VALDEMARIN;22.560,54;2,26
09;MONCLOA-ARAVACA;ARGUELLES;PZA. DE ESPAÑA;22.353,37;2,24
09;MONCLOA-ARAVACA;EL PLANTIO;PLANTACION COMPENSATORIA CALLE 30-PARQUE FORESTAL ESTACION DEL BARRIAL;21.537,12;2,15
09;MONCLOA-ARAVACA;CIUDAD UNIVERSITARIA;LAS ISLAS;20.663,27;2,07
09;MONCLOA-ARAVACA;VALDEMARIN;MED. VALDEMARIN;16.965,54;1,70
09;MONCLOA-ARAVACA;ARAVACA;ROSAS DE ARAVACA;16.502,78;1,65
09;MONCLOA-ARAVACA;CASA DE CAMPO;RIBERA DEL MANZANARES - MARGEN DERECHA;14.863,24;1,49
09;MONCLOA-ARAVACA;CIUDAD UNIVERSITARIA;PARQUE JUAN XXIII;14.741,02;1,47
09;MONCLOA-ARAVACA;VALDEZARZA;PARQUE BLAS DE OTERO;14.638,06;1,46
09;MONCLOA-ARAVACA;VALDEZARZA;Parque Luisa Carnés;14.351,97;1,44
09;MONCLOA-ARAVACA;CIUDAD UNIVERSITARIA;A.V.C. FASE III;13.750,13;1,38
09;MONCLOA-ARAVACA;ARAVACA;LA HORCA;13.615,02;1,36
09;MONCLOA-ARAVACA;CIUDAD UNIVERSITARIA;JARDINES ESCUADRON POLICIA MUNICIPAL;13.539,87;1,35
10;LATINA;LOS CARMENES;CUÑA VERDE LA LATINA;656.821,58;65,68
10;LATINA;LAS AGUILAS;PARQUE DE LAS CRUCES;452.894,53;45,29
10;LATINA;CUATRO VIENTOS;Z.F. PAU CARABANCHEL. UNIDAD III;275.581,94;27,56
10;LATINA;ALUCHE;PARQUE DE CERRO ALMODOVAR - 1ª - 2ª FASE;172.316,54;17,23
10;LATINA;ALUCHE;PARQUE ALUCHE;143.156,83;14,32
10;LATINA;CAMPAMENTO;COL. DEHESA DEL PPE.;55.726,78;5,57
10;LATINA;LUCERO;CAÑO ROTO - LOS CARMENES;48.625,92;4,86
10;LATINA;CUATRO VIENTOS;Z.A. PAU CARABANCHEL - UNIDAD III;41.127,78;4,11
10;LATINA;LAS AGUILAS;PERI 10/6 ALUCHE - POBLADOS;40.232,21;4,02
10;LATINA;ALUCHE;POBLADO DIRIGIDO LOS CARMENES;36.977,50;3,70
10;LATINA;LAS AGUILAS;POBLADO C - CARABANCHEL - ZONAS XIX-XXIV;36.926,61;3,69
