id_alojamiento,tipo_alojamiento,restaurante,barrio,id_barrio,distrito,id_distrito,direccion,num,coordenada_x,coordenada_y,latitud,longitud
213,HOSTAL,NO,UNIVERSIDAD         ,15,CENTRO              ,1,CALLE                    SAN ONOFRE                                        ,5,440471.6,4474774.5,40.42147142040055,-3.7017134213849596
214,HOSTAL,NO,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    TIRSO DE MOLINA                                   ,2,440312.6,4473705.5,40.411829973867874,-3.7034872505595744
215,PENSION,NO,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    JESUS Y MARIA                                     ,12,440266.6,4473663.5,40.41144831792611,-3.7040254335575233
216,APART-HOTEL,NO,PALACIO             ,11,CENTRO              ,1,CALLE                    CALATRAVA                                         ,4,439696.6,4473424.5,40.4092541945198,-3.7107203872599066
217,VIVIENDA TURISTICA,NO,PALACIO             ,11,CENTRO              ,1,CALLE                    CALATRAVA                                         ,20,439581.6,4473438.5,40.4093719743395,-3.7120769778462783
218,HOTEL,SI,SOL                 ,16,CENTRO              ,1,CALLE                    MESONERO ROMANOS                                  ,14,440266.6,4474584.5,40.419745120958254,-3.704111917393545
219,HOTEL,SI,JUSTICIA            ,14,CENTRO              ,1,PLAZA                    PEDRO ZEROLO                                      ,12,440699.6,4474677.5,40.4206138786367,-3.6990169306928093
220,HOTEL,SI,CORTES              ,13,CENTRO              ,1,PLAZA                    CANOVAS DEL CASTILLO                              ,4,441054.6,4474025.5,40.41476556858782,-3.6947721573839996
221,HOTEL,SI,SOL                 ,16,CENTRO              ,1,TRAVESIA                 TRUJILLOS                                         ,3,439995.6,4474457.5,40.41858154909574,-3.7072941380110485
222,HOTEL,SI,CORTES              ,13,CENTRO              ,1,CARRERA                  SAN JERONIMO                                      ,34,440726.6,4474210.5,40.41640884304073,-3.6986551635546765
223,HOTEL,SI,CORTES              ,13,CENTRO              ,1,CALLE                    NUÃÂEZ DE ARCE                                     ,1,440511.6,4474150.5,40.41585299389097,-3.70118357627204
224,COLEGIO MAYOR/RESIDENCIA DE ESTUDIANTE,NO,PALACIO             ,11,CENTRO              ,1,CALLE                    TOLEDO                                            ,96,439674.6,4473314.5,40.40826166886068,-3.7109692266621446
225,HOTEL,SI,PALACIO             ,11,CENTRO              ,1,CALLE                    SAN BERNARDO                                      ,3,439906.6,4474715.5,40.42089930895645,-3.7083675158695835
226,HOTEL,SI,CORTES              ,13,CENTRO              ,1,CALLE                    VIRGEN DE LOS PELIGROS                            ,2,440671.6,4474424.5,40.418332738460215,-3.6993233629908615
