id_zonaverde,nombre_zv,barrio,id_barrio,distrito,id_distrito,Superficie (m2),Superficie (ha)
221,AGUACATE- AVDA PESETA,BUENAVISTA,116,CARABANCHEL,11,"10.286,11","1,03"
222,COL. EXPERIMENTALES,OPANEL,112,CARABANCHEL,11,"10.030,56","1,00"
223,COL. CODORNIZ,VISTA ALEGRE,114,CARABANCHEL,11,"12.945,22","1,29"
224,AVDA. POBLADOS - CTRA. LEGANES,BUENAVISTA,116,CARABANCHEL,11,"20.488,46","2,05"
225,COL. DIEGO VELAZQUEZ,ABRANTES,117,CARABANCHEL,11,"20.021,77","2,00"
226,LTRL. VIA LUSITANA,ABRANTES,117,CARABANCHEL,11,"21.851,70","2,19"
227,JARDÃN DE LAS ASOCIACIONES,SAN ISIDRO,113,CARABANCHEL,11,"21.154,18","2,12"
228,PARQUE EMPERATRIZ MARIA DE AUSTRIA,ABRANTES,117,CARABANCHEL,11,"622.924,31","62,29"
229,PARQUE SAN ISIDRO,SAN ISIDRO,113,CARABANCHEL,11,"248.983,99","24,90"
230,PARQUE DE LA VOLATERIA Y ENTORNO,BUENAVISTA,116,CARABANCHEL,11,"157.817,37","15,78"
231,Z.F. PAU CARABANCHEL - CEMENTERIO,BUENAVISTA,116,CARABANCHEL,11,"143.794,66","14,38"
232,UVA PAN BENDITO,PUERTA BONITA,115,CARABANCHEL,11,"55.949,85","5,59"
233,JARDIN LOS POZUELOS,BUENAVISTA,116,CARABANCHEL,11,"51.196,17","5,12"
234,Z.F. PAU CARABANCHEL - M-40,BUENAVISTA,116,CARABANCHEL,11,"121.104,90","12,11"
235,Parque de Salvador Allende,BUENAVISTA,116,CARABANCHEL,11,"37.238,28","3,72"
236,PARQUE DE COMILLAS,COMILLAS,111,CARABANCHEL,11,"35.337,54","3,53"
237,COL. PARQUE EUGENIA DE MONTIJO,VISTA ALEGRE,114,CARABANCHEL,11,"34.352,24","3,44"
238,PARQUE EUGENIA DE MONTIJO I,VISTA ALEGRE,114,CARABANCHEL,11,"31.351,23","3,14"
239,TALUD SAN ILLAN,SAN ISIDRO,113,CARABANCHEL,11,"28.956,83","2,90"
240,PARQUE STA. RITA,PUERTA BONITA,115,CARABANCHEL,11,"27.869,57","2,79"
241,MED. AVDA. LA PESETA,BUENAVISTA,116,CARABANCHEL,11,"24.587,67","2,46"
242,PARQUE EUGENIA DE MONTIJO II,VISTA ALEGRE,114,CARABANCHEL,11,"42.632,33","4,26"
243,A.V.C. GTA. DE MALAGA - NUEVO PRADOLONGO,ORCASUR,122,USERA,12,"13.650,89","1,37"
244,Z.F. RAFAELA YBARRA,PRADOLONGO,127,USERA,12,"16.497,36","1,65"
245,PARQUE DE LA PERLA,SAN FERMIN,123,USERA,12,"14.486,16","1,45"
246,PANTALLA VERDE CTRA. TOLEDO I,ZOFIO,126,USERA,12,"14.345,06","1,43"
