id_centro_edu,centro_edu,tipo_edu,Pub_Priv,barrio,id_barrio,distrito,id_distrito,direccion,num,coordenada_x,coordenada_y,latitud,longitud
1369,EDUCACION TERCIARIA NO UNIVERSITARIA,TERCIARIA,PRIVADO,PROSPERIDAD         ,2,CHAMARTIN           ,5,AVENIDA                  AMERICA                                           ,47,443346.6,4477004.5,40.44176112485537,-3.6680242810872716
1370,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,EL VISO             ,1,CHAMARTIN           ,5,CALLE                    JOAQUIN COSTA                                     ,16,441785.6,4477451.5,40.44568008404861,-3.6864704226368072
1371,ESCUELAS INFANTILES DE PRIMER CICLO,INFANTIL,PRIVADO,NUEVA ESPAÃÂA        ,5,CHAMARTIN           ,5,CALLE                    EUROPA                                            ,4,441908.6,4479718.5,40.46611083366218,-3.6852275351819332
1372,ESCUELAS INFANTILES DE PRIMER CICLO,INFANTIL,PRIVADO,NUEVA ESPAÃÂA        ,5,CHAMARTIN           ,5,CALLE                    MATEO INURRIA                                     ,20,442030.6,4479824.5,40.46707424914085,-3.683798244056301
1373,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,HISPANOAMERICA      ,4,CHAMARTIN           ,5,CALLE                    PROFESOR WAKSMAN                                  ,9,441666.6,4478614.5,40.45614856803589,-3.687980425115097
1374,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,HISPANOAMERICA      ,4,CHAMARTIN           ,5,CALLE                    VICTOR ANDRES BELAUNDE                            ,52,442328.6,4478800.5,40.457870342873136,-3.6801902620053695
1375,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,HISPANOAMERICA      ,4,CHAMARTIN           ,5,CALLE                    CHILE                                             ,18,442723.6,4478649.5,40.45653738365897,-3.6755182215943227
1376,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,HISPANOAMERICA      ,4,CHAMARTIN           ,5,CALLE                    COLOMBIA                                          ,18,442789.6,4478672.5,40.45674912441022,-3.6747419412148763
1377,CENTROS PRIVADOS DE EDUCACION PRIMARIA,PRIMARIA,PRIVADO,NUEVA ESPAÃÂA        ,5,CHAMARTIN           ,5,CALLE                    BOLIVIA                                           ,31,442542.6,4479029.5,40.459948102701965,-3.6776871919672187
1378,AUTOESCUELA,AUTOESCUELA,PRIVADO,HISPANOAMERICA      ,4,CHAMARTIN           ,5,CALLE                    COSTA RICA                                        ,18,442837.6,4478832.5,40.45819378155123,-3.674190272241067
1379,AUTOESCUELA,AUTOESCUELA,PRIVADO,CASTILLA            ,6,CHAMARTIN           ,5,AVENIDA                  BURGOS                                            ,34,442807.62,4481271.5,40.48016331459059,-3.674763716690682
1380,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,HISPANOAMERICA      ,4,CHAMARTIN           ,5,AVENIDA                  ALFONSO XIII                                      ,97,443413.6,4478706.5,40.457098135099926,-3.6673859652125356
1381,AUTOESCUELA,AUTOESCUELA,PRIVADO,CASTILLA            ,6,CHAMARTIN           ,5,PASEO                    CASTELLANA                                        ,222,441658.62,4479965.5,40.46831839674079,-3.6881987297408307
1382,CENTRO DE INFANTIL Y PRIMARIA PRIVADO,INFANTIL Y PRIMARIA,PRIVADO,NUEVA ESPAÃÂA        ,5,CHAMARTIN           ,5,CALLE                    SAGRADO CORAZON                                   ,2,443109.6,4479689.5,40.46593269909993,-3.6710592558054795
1383,AUTOESCUELA,AUTOESCUELA,PRIVADO,HISPANOAMERICA      ,4,CHAMARTIN           ,5,PASEO                    LA HABANA                                         ,70,441938.6,4478254.5,40.45292457397142,-3.6847397694691435
1384,CENTROS PRIVADOS DE EDUCACION PRIMARIA,PRIMARIA,PRIVADO,EL VISO             ,1,CHAMARTIN           ,5,CALLE                    SERRANO                                           ,158,441916.6,4477471.5,40.44586941580394,-3.684927590412837
