id_alojamiento,tipo_alojamiento,restaurante,barrio,id_barrio,distrito,id_distrito,direccion,num,coordenada_x,coordenada_y,restaurante,geometry
132,APART-HOTEL,NO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    CONDE DE ROMANONES                                ,7,440208.6,4473871.5,NO,POINT (-3.704728527358117 40.41331791672279)
133,HOTEL,NO,CORTES              ,3,CENTRO              ,1,CALLE                    PRINCIPE                                          ,26,440590.6,4473978.5,NO,POINT (-3.7002364143493383 40.41430917833615)
134,HOTEL,SI,CORTES              ,3,CENTRO              ,1,CALLE                    LOPE DE VEGA                                      ,49,441076.6,4473932.5,SI,POINT (-3.6945042539578017 40.41392933660403)
135,VIVIENDA TURISTICA,NO,PALACIO             ,1,CENTRO              ,1,PLAZA                    MORERIA                                           ,1,439513.6,4473882.5,NO,POINT (-3.712920560107294 40.41336679314499)
136,HOTEL,NO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    TOLEDO                                            ,111,439685.6,4473294.5,NO,POINT (-3.710837699251584 40.40808229649168)
137,HOTEL,NO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    ESPADA                                            ,4,440203.6,4473698.5,NO,POINT (-3.7047711956908933 40.41175909121931)
138,ALBERGUES JUVENILES Y OTROS ALOJAMIENTOS TURISTICOS DE CORTA ESTANCIA,NO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    CABEZA                                            ,24,440426.6,4473709.5,NO,POINT (-3.7021440947960125 40.41187417470526)
139,HOTEL,SI,SOL                 ,6,CENTRO              ,1,CALLE                    ARENAL                                            ,15,439969.6,4474330.5,SI,POINT (-3.707588601195051 40.4174355992949)
140,ALBERGUES JUVENILES Y OTROS ALOJAMIENTOS TURISTICOS DE CORTA ESTANCIA,NO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    CALVARIO                                          ,25,440450.6,4473673.5,NO,POINT (-3.701857876684239 40.411551586691004)
141,HOTEL,SI,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    VALENCIA                                          ,11,440601.6,4473183.5,SI,POINT (-3.7000325552125877 40.407148215742765)
143,HOTEL,NO,JUSTICIA            ,4,CENTRO              ,1,PLAZA                    PEDRO ZEROLO                                      ,3,440637.6,4474755.5,NO,POINT (-3.699754998936063 40.42131211873066)
144,HOSTAL,NO,JUSTICIA            ,4,CENTRO              ,1,CALLE                    GRAN VIA                                          ,6,440796.6,4474536.5,NO,POINT (-3.6978604760644007 40.41935059037892)
145,HOTEL,SI,JUSTICIA            ,4,CENTRO              ,1,CALLE                    INFANTAS                                          ,26,440676.6,4474652.5,SI,POINT (-3.699285697254403 40.42038702737384)
146,HOTEL,SI,CORTES              ,3,CENTRO              ,1,CALLE                    ECHEGARAY                                         ,8,440640.6,4474158.5,SI,POINT (-3.699663920864625 40.41593427253739)
147,HOSTAL,NO,CORTES              ,3,CENTRO              ,1,CALLE                    ATOCHA                                            ,117,441086.6,4473518.5,NO,POINT (-3.6943480615091913 40.410200526937025)
148,HOSTAL,NO,JUSTICIA            ,4,CENTRO              ,1,CALLE                    SAGASTA                                           ,22,440766.6,4475498.5,NO,POINT (-3.6983036903887627 40.42801460449781)
