nombre_equip,tipo_equip,id_equip,barrio,id_barrio,distrito,id_distrito,direccion,num,CP,coordenada_x,coordenada_y,latitud,longitud
Teatro Bellas Artes,,88,CORTES,13,CENTRO,1,CALLE MARQUES DE CASA RIERA,2.0,28014,440918,4474423,40.41833781596964,-3.6964190351426174
Tablao Cafeti­n La Quimera,,89,SOL,16,CENTRO,1,CALLE CUCHILLEROS,7.0,28005,439935,4474010,40.41455139884737,-3.7079639628064585
Teatro Marquina,,90,JUSTICIA,14,CENTRO,1,CALLE PRIM,11.0,28004,441148,4474824,40.42195750772574,-3.693745153154264
Cines Embajadores,,91,DELICIAS,25,ARGANZUELA,2,GLORIETA SANTA MARIA DE LA CABEZA,5.0,28045,440722,4472467,40.40070476221974,-3.698541454850656
Cine Cinesa Mi©ndez ilvaro,,92,ATOCHA,27,ARGANZUELA,2,CALLE ACANTO,2.0,28045,442670,4471989,40.39652456702154,-3.6755496528510783
Cineteca Madrid,,93,CHOPERA,23,ARGANZUELA,2,PLAZA LEGAZPI,8.0,28045,440946,4471394,40.391053041229135,-3.695807971926008
Cine Artistic Metropol,,94,ACACIAS,22,ARGANZUELA,2,CALLE CIGARRERAS,6.0,28005,439972,4472935,40.404856499695455,-3.70742856791561
Teatro Lagrada,,95,ACACIAS,22,ARGANZUELA,2,CALLE ERCILLA,20.0,28005,440356,4472691,40.40268595360097,-3.70289238039068
Naves Espai±ol en Matadero,,96,CHOPERA,23,ARGANZUELA,2,PASEO CHOPERA,14.0,28045,440825,4471546,40.39241374953321,-3.697247685884226
Sala Nave 73,,97,PALOS DE MOGUER,26,ARGANZUELA,2,CALLE PALOS DE LA FRONTERA,5.0,28012,440712,4472741,40.40316180456706,-3.6987020172137433
Teatro La Sala,,98,PALOS DE MOGUER,26,ARGANZUELA,2,CALLE PALOS DE LA FRONTERA,3.0,28012,440686,4472732,40.40309417359402,-3.6989842711202656
Tablao Flamenco Cafi© Ziryab,SALA CONCIERTOS,99,ACACIAS,22,ARGANZUELA,2,PASEO ESPERANZA,17.0,28005,440164,4472643,40.4022488504113,-3.705138659259797
Sala Rock Palace,SALA CONCIERTOS,100,PALOS DE MOGUER,26,ARGANZUELA,2,CALLE VARA DE REY,6.0,28045,441492,4472615,40.402096733788525,-3.6894789064548985
Auditorio al aire libre. Parque Enrique Tierno Galvi¡n,AUDITORIO,101,LEGAZPI,24,ARGANZUELA,2,AVENIDA PLANETARIO,18.0,28045,441830,4471375,40.390944081814816,-3.685391155439898
Sala Big Mama Ballroom,SALA CONCIERTOS,102,PALOS DE MOGUER,26,ARGANZUELA,2,CALLE BERNARDINO OBREGON,3.0,28012,440603,4472862,40.40425285132008,-3.6999784000568807
Teatro Corral de Cervantes,,103,CHOPERA,23,ARGANZUELA,2,PASEO CHOPERA,10.0,28045,440676,4471620,40.39307289237465,-3.699005654074825
Sala de teatro. La Usina,,104,PALOS DE MOGUER,26,ARGANZUELA,2,CALLE PALOS DE LA FRONTERA,4.0,28012,440590,4472681,40.402621678076535,-3.7001223561771193
Teatro. Artespacio Plot Point,,105,ACACIAS,22,ARGANZUELA,2,CALLE ERCILLA,29.0,28005,440426,4472606,40.40192531437177,-3.7020477784084793
Teatro Circo Price,,106,PALOS DE MOGUER,26,ARGANZUELA,2,RONDA ATOCHA,35.0,28012,440723,4473051,40.40596423138839,-3.698601359753866
Tablao Flamenco Cafi© Ziryab,,107,ACACIAS,22,ARGANZUELA,2,PASEO ESPERANZA,17.0,28005,440164,4472643,40.4022488504113,-3.705138659259797
Teatro Estudio 2 Manuel Galiana,,108,ACACIAS,22,ARGANZUELA,2,CALLE MORATINES,11.0,28005,440374,4472749,40.40321881564558,-3.702674015748743
Sojo Laboratorio Teatral.,,109,ACACIAS,22,ARGANZUELA,2,CALLE SAN ISIDORO DE SEVILLA,2.0,28005,439569,4472902,40.40454329855034,-3.712165150683624
Teatro Sala Cuarta Pared,,110,ACACIAS,22,ARGANZUELA,2,CALLE ERCILLA,17.0,28005,440371,4472701,40.402777112937486,-3.702716560812772
Teatro La Encina,,111,ACACIAS,22,ARGANZUELA,2,CALLE ERCILLA,15.0,28005,440362,4472716,40.40292067588232,-3.7028123300797953
Teatro. Bululiº 2120,,112,PALOS DE MOGUER,26,ARGANZUELA,2,CALLE CANARIAS,16.0,28045,440896,4472605,40.40195873806236,-3.696521252638884
El Pasillo Verde Teatro,,113,ACACIAS,22,ARGANZUELA,2,PASEO ESPERANZA,23.0,28005,440246,4472488,40.40085850941741,-3.704147130970605
Sala Jazzville,SALA CONCIERTOS,114,NINO JESUS,36,RETIRO,3,CALLE JESUS APRENDIZ,19.0,28007,443061,4473441,40.40964834979396,-3.6710672285180186
Cine Renoir Retiro,,115,IBIZA,34,RETIRO,3,CALLE NARVAEZ,42.0,28009,442622,4474603,40.42007851600518,-3.6763627973897455
Teatro Municipal de Ti­teres. Parque de El Retiro,,116,LOS JERONIMOS,35,RETIRO,3,AVENIDA MÃXICO,4.0,28009,441748,4474466,40.41878362561595,-3.6866519471003647
WiZink Center,USO POLIVALENTE,117,GOYA,42,SALAMANCA,4,CALLE JORGE JUAN,99.0,28009,442985,4474957,40.42328354496374,-3.672104027231158
Ferni¡n Gi³mez Centro Cultural de la Villa,,118,RECOLETOS,41,SALAMANCA,4,PLAZA COLON,4.0,28001,441476,4475151,40.42492634761077,-3.689920851966343
Nuevo Teatro Alcali¡,,119,GOYA,42,SALAMANCA,4,CALLE JORGE JUAN,62.0,28009,442464,4474973,40.42340075550414,-3.678258596986864
Teatro Tribuei±e,,120,FUENTE DEL BERRO,43,SALAMANCA,4,CALLE SANCHO DAVILA,31.0,28028,443879,4475204,40.425569368259886,-3.661599639903205
Tablao Flamenco Corral de la Pacheca,,121,GUINDALERA,44,SALAMANCA,4,CALLE ALCALA,237.0,28028,443775,4475871,40.431581087036655,-3.662863216771023
Tablao Flamenco Corral de la Pacheca,TABLAO,122,GUINDALERA,44,SALAMANCA,4,CALLE ALCALA,237.0,28028,443775,4475871,40.431581087036655,-3.662863216771023
Sala Barracudas,SALA CONCIERTOS,123,GUINDALERA,44,SALAMANCA,4,CALLE BRESCIA,19.0,28028,443825,4476441,40.43672107982399,-3.662331952698921
Teatro Pradillo,,124,CIUDAD JARDIN,53,CHAMARTIN,5,CALLE PRADILLO,12.0,28002,442785,4477765,40.44856560554628,-3.6747261219408607
Sala Elefante Blanco,SALA CONCIERTOS,125,PROSPERIDAD,52,CHAMARTIN,5,CALLE SANTA HORTENSIA,14.0,28002,443192,4477384,40.44516934861189,-3.6698726835280313
Auditorio al aire libre Berli­n,AUDITORIO,126,CIUDAD JARDIN,53,CHAMARTIN,5,CALLE SAN ERNESTO,10.0,28002,442714,4477836,40.4492084473701,-3.675553913633189
Auditorio Nacional de Miºsica,AUDITORIO,127,CIUDAD JARDIN,53,CHAMARTIN,5,CALLE PRINCIPE DE VERGARA,146.0,28002,442619,4477707,40.44615938706209,-3.677944887416032
Sala Moe,SALA CONCIERTOS,128,HISPANOAMERICA,54,CHAMARTIN,5,AVENIDA ALBERTO ALCOCER,32.0,28036,442126,4478859,40.458391668385886,-3.682578546152118
Auditorio al aire libre. Templete. Plaza de la Remonta,AUDITORIO,129,VALDEACEDERAS,65,TETUAN,6,PLAZA REMONTA,18.0,28039,440853,4479492,40.46399700811909,-3.6976570794379433
Sala The Irish Rover,SALA CONCIERTOS,130,CUATRO CAMINOS,62,TETUAN,6,AVENIDA BRASIL,7.0,28020,441158,4478468,40.45480073078596,-3.693964081346134
Sala Rockville,SALA CONCIERTOS,131,CUATRO CAMINOS,62,TETUAN,6,AVENIDA BRASIL,3.0,28020,441148,4478377,40.45397721814547,-3.6940692978540577
Sala Moby Dick,SALA CONCIERTOS,132,CUATRO CAMINOS,62,TETUAN,6,AVENIDA BRASIL,5.0,28020,441151,4478434,40.4544871863928,-3.694056023965524
Teatro Multiespacio La Strada,,133,ARAPILES,72,CHAMBERI,7,CALLE MAGALLANES,23.0,28015,440141,4476318,40.435354235764464,-3.705754037741118
Teatros del Canal,,134,ARAPILES,72,CHAMBERI,7,CALLE CEA BERMUDEZ,1.0,28003,440203,4476672,40.43854675141601,-3.705057921443053
Teatro Quique San Francisco,,135,ARAPILES,72,CHAMBERI,7,CALLE GALILEO,39.0,28015,439741,4476139,40.43371190964793,-3.710454359795776
Sala Arapiles 16,,136,ARAPILES,72,CHAMBERI,7,CALLE ARAPILES,16.0,28015,439935,4476072,40.43312718155775,-3.708159572592643
Teatro Amaya,,137,ALMAGRO,74,CHAMBERI,7,PASEO GENERAL MARTINEZ CAMPOS,9.0,28010,440868,4476288,40.43513498732234,-3.697193610846834
Teatros Luchana,,138,TRAFALGAR,73,CHAMBERI,7,CALLE LUCHANA,38.0,28010,440780,4475934,40.43193980366074,-3.698186306223295
Teatro de la Abadi­a,,139,ARAPILES,72,CHAMBERI,7,CALLE FERNANDEZ DE LOS RIOS,42.0,28015,439848,4476306,40.43522406333126,-3.709208726699302
Sala Honky Tonk,SALA CONCIERTOS,140,TRAFALGAR,73,CHAMBERI,7,CALLE COVARRUBIAS,24.0,28010,440823,4475743,40.43022268747252,-3.6976519453785786
Sala Cien por Cien,SALA CONCIERTOS,141,TRAFALGAR,73,CHAMBERI,7,CALLE SANTISIMA TRINIDAD,30.0,28010,440547,4476590,40.43783445654716,-3.700994506227161
Pequei±o Cine Estudio,,142,ARAPILES,72,CHAMBERI,7,CALLE MAGALLANES,1.0,28015,440166,4475995,40.4324363685589,-3.705430315372582
Cine Sala Berlanga,,143,GAZTAMBIDE,71,CHAMBERI,7,CALLE ANDRES MELLADO,53.0,28015,439407,4476388,40.43592165987274,-3.714427369487504
Sala Galileo Galilei,SALA CONCIERTOS,144,ARAPILES,72,CHAMBERI,7,CALLE GALILEO,100.0,28015,439798,4476674,40.43853547465896,-3.709844851840886
Cine Yelmo Luxury Palafox,,145,TRAFALGAR,73,CHAMBERI,7,CALLE LUCHANA,15.0,28010,440548,4475729,40.430081135559696,-3.70090220334248
Cine Cinesa Proyecciones,,146,TRAFALGAR,73,CHAMBERI,7,CALLE FUENCARRAL,136.0,28010,440350,4475887,40.43148568058066,-3.7032511074682977
Sala Clamores,SALA CONCIERTOS,147,TRAFALGAR,73,CHAMBERI,7,CALLE ALBURQUERQUE,14.0,28010,440546,4475846,40.431121286721805,-3.700948365535389
Sala Fun House,SALA CONCIERTOS,148,TRAFALGAR,73,CHAMBERI,7,CALLE PALAFOX,8.0,28010,440524,4475870,40.43134824139681,-3.701186635650276
Auditorio de la Plaza de Chamberi­ - Templete,AUDITORIO,149,ALMAGRO,74,CHAMBERI,7,PLAZA CHAMBERI,12.0,28010,440834,4476014,40.43266432328108,-3.697557153998127
Sala Biºho Real,SALA CONCIERTOS,150,ALMAGRO,74,CHAMBERI,7,PASEO GENERAL MARTINEZ CAMPOS,14.0,28010,440899,4476259,40.43487749572997,-3.696810843113834
Cine Verdi,,151,TRAFALGAR,73,CHAMBERI,7,CALLE BRAVO MURILLO,28.0,28015,440284,4476459,40.43662476624267,-3.70408281907753
Autocine Madrid,,152,VALVERDE,86,FUENCARRAL-EL PARDO,8,CALLE ANTONIO DE CABEZON,8.0,28034,442150,4483527,40.500437060081694,-3.682719171453021
Auditorio al aire libre. Parque de la Vaguada,AUDITORIO,153,EL PILAR,84,FUENCARRAL-EL PARDO,8,PASEO VAGUADA,13.0,28029,439712,4481297,40.48016602497203,-3.711297805142757
Cine La Vaguada,,154,EL PILAR,84,FUENCARRAL-EL PARDO,8,AVENIDA MONFORTE DE LEMOS,36.0,28029,439967,4481168,40.47903297218874,-3.708264188659831
Sala Cadillac Solitario,SALA CONCIERTOS,155,LA PAZ,85,FUENCARRAL-EL PARDO,8,CALLE FERMIN CABALLERO,6.0,28034,440725,4482079,40.48729435461303,-3.699402329671547
Auditorio Joaqui­n Rosado (Moncloa-Aravaca),AUDITORIO,156,CASA DE CAMPO,91,MONCLOA-ARAVACA,9,CALLE SANTA POLA,22.0,28008,437516,4475994,40.43224331064189,-3.7366613378902462
Pabelli³n de Convenciones (Recinto Ferial Casa de Campo),USO POLIVALENTE,157,CASA DE CAMPO,91,MONCLOA-ARAVACA,9,AVENIDA PORTUGAL,0.0,28011,437456,4474126,40.41352730435772,-3.738470415917408
Templete de Miºsica - Parque de La Bombilla,USO POLIVALENTE,158,CASA DE CAMPO,91,MONCLOA-ARAVACA,9,GLORIETA SAN ANTONIO DE LA FLORIDA,9.0,28008,438418,4475299,40.426047943114646,-3.725969994297979
Pabelli³n Multiusos Madrid Arena (Recinto Ferial Casa de Campo),USO POLIVALENTE,159,CASA DE CAMPO,91,MONCLOA-ARAVACA,9,AVENIDA PRINCIPAL,14.0,28011,437456,4474126,40.41352730435772,-3.738470415917408
Auditorio al aire libre. Templete de Miºsica - Parque del Oeste,AUDITORIO,160,CASA DE CAMPO,91,MONCLOA-ARAVACA,9,CALLE PROFESOR MARTIN ALMAGRO BASCH,5.0,28008,438980,4475117,40.424449819646256,-3.719327791504915
