nombre_equip,tipo_equip,id_equip,barrio,id_barrio,distrito,id_distrito,direccion,num,CP,coordenada_x,coordenada_y,latitud,longitud
Sala Moby Dick,SALA CONCIERTOS,132,CUATRO CAMINOS,62,TETUAN,6,AVENIDA BRASIL,5,28020,441151,4478434,40.45448719,-3.694056024
Teatro Multiespacio La Strada,TEATRO,133,ARAPILES,72,CHAMBERI,7,CALLE MAGALLANES,23,28015,440141,4476318,40.43535424,-3.705754038
Teatros del Canal,TEATRO,134,ARAPILES,72,CHAMBERI,7,CALLE CEA BERMUDEZ,1,28003,440203,4476672,40.43854675,-3.705057921
Teatro Quique San Francisco,TEATRO,135,ARAPILES,72,CHAMBERI,7,CALLE GALILEO,39,28015,439741,4476139,40.43371191,-3.71045436
Sala Arapiles 16,TEATRO,136,ARAPILES,72,CHAMBERI,7,CALLE ARAPILES,16,28015,439935,4476072,40.43312718,-3.708159573
Teatro Amaya,TEATRO,137,ALMAGRO,74,CHAMBERI,7,PASEO GENERAL MARTINEZ CAMPOS,9,28010,440868,4476288,40.43513499,-3.697193611
Teatros Luchana,TEATRO,138,TRAFALGAR,73,CHAMBERI,7,CALLE LUCHANA,38,28010,440780,4475934,40.4319398,-3.698186306
Teatro de la Abadi­a,TEATRO,139,ARAPILES,72,CHAMBERI,7,CALLE FERNANDEZ DE LOS RIOS,42,28015,439848,4476306,40.43522406,-3.709208727
Sala Honky Tonk,SALA CONCIERTOS,140,TRAFALGAR,73,CHAMBERI,7,CALLE COVARRUBIAS,24,28010,440823,4475743,40.43022269,-3.697651945
Sala Cien por Cien,SALA CONCIERTOS,141,TRAFALGAR,73,CHAMBERI,7,CALLE SANTISIMA TRINIDAD,30,28010,440547,4476590,40.43783446,-3.700994506
Pequeno Cine Estudio,CINE,142,ARAPILES,72,CHAMBERI,7,CALLE MAGALLANES,1,28015,440166,4475995,40.43243637,-3.705430315
Cine Sala Berlanga,CINE,143,GAZTAMBIDE,71,CHAMBERI,7,CALLE ANDRES MELLADO,53,28015,439407,4476388,40.43592166,-3.714427369
Sala Galileo Galilei,SALA CONCIERTOS,144,ARAPILES,72,CHAMBERI,7,CALLE GALILEO,100,28015,439798,4476674,40.43853547,-3.709844852
Cine Yelmo Luxury Palafox,CINE,145,TRAFALGAR,73,CHAMBERI,7,CALLE LUCHANA,15,28010,440548,4475729,40.43008114,-3.700902203
Cine Cinesa Proyecciones,CINE,146,TRAFALGAR,73,CHAMBERI,7,CALLE FUENCARRAL,136,28010,440350,4475887,40.43148568,-3.703251107
Sala Clamores,SALA CONCIERTOS,147,TRAFALGAR,73,CHAMBERI,7,CALLE ALBURQUERQUE,14,28010,440546,4475846,40.43112129,-3.700948366
Sala Fun House,SALA CONCIERTOS,148,TRAFALGAR,73,CHAMBERI,7,CALLE PALAFOX,8,28010,440524,4475870,40.43134824,-3.701186636
Auditorio de la Plaza de Chamberi­ - Templete,AUDITORIO,149,ALMAGRO,74,CHAMBERI,7,PLAZA CHAMBERI,12,28010,440834,4476014,40.43266432,-3.697557154
Sala Buho Real,SALA CONCIERTOS,150,ALMAGRO,74,CHAMBERI,7,PASEO GENERAL MARTINEZ CAMPOS,14,28010,440899,4476259,40.4348775,-3.696810843
Cine Verdi,CINE,151,TRAFALGAR,73,CHAMBERI,7,CALLE BRAVO MURILLO,28,28015,440284,4476459,40.43662477,-3.704082819
Autocine Madrid,CINE,152,VALVERDE,86,FUENCARRAL-EL PARDO,8,CALLE ANTONIO DE CABEZON,8,28034,442150,4483527,40.50043706,-3.682719171
Auditorio al aire libre. Parque de la Vaguada,AUDITORIO,153,EL PILAR,84,FUENCARRAL-EL PARDO,8,PASEO VAGUADA,13,28029,439712,4481297,40.48016602,-3.711297805
Cine La Vaguada,CINE,154,EL PILAR,84,FUENCARRAL-EL PARDO,8,AVENIDA MONFORTE DE LEMOS,36,28029,439967,4481168,40.47903297,-3.708264189
Sala Cadillac Solitario,SALA CONCIERTOS,155,LA PAZ,85,FUENCARRAL-EL PARDO,8,CALLE FERMIN CABALLERO,6,28034,440725,4482079,40.48729435,-3.69940233
Auditorio Joaqui­n Rosado (Moncloa-Aravaca),AUDITORIO,156,CASA DE CAMPO,91,MONCLOA-ARAVACA,9,CALLE SANTA POLA,22,28008,437516,4475994,40.43224331,-3.736661338
Pabelli³n de Convenciones (Recinto Ferial Casa de Campo),USO POLIVALENTE,157,CASA DE CAMPO,91,MONCLOA-ARAVACA,9,AVENIDA PORTUGAL,0,28011,437456,4474126,40.4135273,-3.738470416
Templete de Miºsica - Parque de La Bombilla,USO POLIVALENTE,158,CASA DE CAMPO,91,MONCLOA-ARAVACA,9,GLORIETA SAN ANTONIO DE LA FLORIDA,9,28008,438418,4475299,40.42604794,-3.725969994
Pabelli³n Multiusos Madrid Arena (Recinto Ferial Casa de Campo),USO POLIVALENTE,159,CASA DE CAMPO,91,MONCLOA-ARAVACA,9,AVENIDA PRINCIPAL,14,28011,437456,4474126,40.4135273,-3.738470416
Auditorio al aire libre. Templete de Miºsica - Parque del Oeste,AUDITORIO,160,CASA DE CAMPO,91,MONCLOA-ARAVACA,9,CALLE PROFESOR MARTIN ALMAGRO BASCH,5,28008,438980,4475117,40.42444982,-3.719327792
