NMT;anio;mes;dia;tipo;LAEQ;DIRECCION;X (ETRS89);Y (ETRS89)
47;2021;1;2;D;54.6;Méndez Álvaro Frente al nº 13 de la Calle Juan de Mariana;441715;4472170
47;2021;1;2;E;53.5;Méndez Álvaro Frente al nº 13 de la Calle Juan de Mariana;441715;4472170
47;2021;1;2;N;46.3;Méndez Álvaro Frente al nº 13 de la Calle Juan de Mariana;441715;4472170
47;2021;1;2;T;52.9;Méndez Álvaro Frente al nº 13 de la Calle Juan de Mariana;441715;4472170
48;2021;1;2;D;58.8;Castellana Jardín de Las Bellas Artes, a la altura del nº2 de la Calle José Gutierrez Abascal;441450;4476811
48;2021;1;2;E;59.4;Castellana Jardín de Las Bellas Artes, a la altura del nº2 de la Calle José Gutierrez Abascal;441450;4476811
48;2021;1;2;N;51.6;Castellana Jardín de Las Bellas Artes, a la altura del nº2 de la Calle José Gutierrez Abascal;441450;4476811
48;2021;1;2;T;57.7;Castellana Jardín de Las Bellas Artes, a la altura del nº2 de la Calle José Gutierrez Abascal;441450;4476811
54;2021;1;2;D;60.6;Ensanche de Vallecas Esquina entre la Avenida de la Gavia y la Avenida de las Suertes;448033;4469339
54;2021;1;2;E;61.4;Ensanche de Vallecas Esquina entre la Avenida de la Gavia y la Avenida de las Suertes;448033;4469339
54;2021;1;2;N;50.9;Ensanche de Vallecas Esquina entre la Avenida de la Gavia y la Avenida de las Suertes;448033;4469339
54;2021;1;2;T;59.3;Ensanche de Vallecas Esquina entre la Avenida de la Gavia y la Avenida de las Suertes;448033;4469339
55;2021;1;2;D;53.4;Embajada II Frente al nº 13 de la Calle Riaño;450779;4479239
55;2021;1;2;E;53.3;Embajada II Frente al nº 13 de la Calle Riaño;450779;4479239
55;2021;1;2;N;45.1;Embajada II Frente al nº 13 de la Calle Riaño;450779;4479239
55;2021;1;2;T;52.4;Embajada II Frente al nº 13 de la Calle Riaño;450779;4479239
86;2021;1;2;D;53.3;Tres Olivos Frente al nº 23 de la Avenida del Campo de Calatrava;441557;4483544
86;2021;1;2;E;53.3;Tres Olivos Frente al nº 23 de la Avenida del Campo de Calatrava;441557;4483544
86;2021;1;2;N;44.9;Tres Olivos Frente al nº 23 de la Avenida del Campo de Calatrava;441557;4483544
86;2021;1;2;T;51.9;Tres Olivos Frente al nº 23 de la Avenida del Campo de Calatrava;441557;4483544
1;2021;1;3;D;63.8;Paseo de Recoletos Frente al nº 23 del Paseo de Recoletos;441303;4474895
1;2021;1;3;E;65.7;Paseo de Recoletos Frente al nº 23 del Paseo de Recoletos;441303;4474895
1;2021;1;3;N;60.8;Paseo de Recoletos Frente al nº 23 del Paseo de Recoletos;441303;4474895
1;2021;1;3;T;63.4;Paseo de Recoletos Frente al nº 23 del Paseo de Recoletos;441303;4474895
2;2021;1;3;D;65.9;Glorieta de Carlos V Plaza del Emperador Carlos V, junto al nº 1 del Paseo de la Infanta Isabel;441328;4473396
2;2021;1;3;E;67.2;Glorieta de Carlos V Plaza del Emperador Carlos V, junto al nº 1 del Paseo de la Infanta Isabel;441328;4473396
2;2021;1;3;N;64.5;Glorieta de Carlos V Plaza del Emperador Carlos V, junto al nº 1 del Paseo de la Infanta Isabel;441328;4473396
2;2021;1;3;T;65.6;Glorieta de Carlos V Plaza del Emperador Carlos V, junto al nº 1 del Paseo de la Infanta Isabel;441328;4473396
3;2021;1;3;D;59.1;Plaza del Carmen Plaza del Carmen, frente al nº 3 de la Calle de la Salud;440346;4474524
3;2021;1;3;E;58;Plaza del Carmen Plaza del Carmen, frente al nº 3 de la Calle de la Salud;440346;4474524
3;2021;1;3;N;53.8;Plaza del Carmen Plaza del Carmen, frente al nº 3 de la Calle de la Salud;440346;4474524
3;2021;1;3;T;58;Plaza del Carmen Plaza del Carmen, frente al nº 3 de la Calle de la Salud;440346;4474524
